data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,10,skga,ad2,0.010930684420246724,0.013343481276609353,0.008517887563884156,0.002454431926878573,0,1164,5586,6785,1174,1164,6544,12371,1,1164,1,10,958
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,17,skga,ad2,0.027918094482476057,0.02918029235752062,0.02665589660743134,0.0013322773368227097,0,1205,5835,3875,1238,1205,7388,9710,1,1205,1,33,1553
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,18,skga,ad2,0.5587255394665559,0.5596499471626998,0.5578011317704122,0.00472746474872079,0,547,2484,3111,1237,547,7194,5595,1,547,1,690,4710
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,ir,ir,ir,1.0,3,skga,ad2,0.4985602697987248,0.49924458377757336,0.49787595581988103,0.002714147062107587,0,591,1713,2442,1177,591,6629,4155,1,591,1,586,4916
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,5,skga,ad2,0.3743961856688822,0.3753693267624939,0.37342304457527337,0.0024787171749020356,0,745,3219,3087,1189,745,6500,6306,1,745,1,444,3281
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,17,skga,ad2,0.509849319215682,0.5108133395622214,0.5088852988691438,0.003996872835872575,0,608,2235,2890,1238,608,7388,5125,1,608,1,630,5153
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,17,skga,ad2,0.1696555103468259,0.17049034217991926,0.16882067851373184,0.0012083967281206632,0,1029,5725,2349,1238,1029,7388,8074,1,1029,1,209,1663
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,16,skga,ad2,0.18431251679656024,0.18501847621607154,0.18360655737704917,0.0010592067063434495,0,996,5130,1916,1220,996,6609,7046,1,996,1,224,1479
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#0.75,gs,gs,0.75,7,skga,ad2,0.2565237741191586,0.25899810237301507,0.25404944586530265,0.004446693877551014,0,875,4928,7053,1173,875,6627,11981,1,875,1,298,1699
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#0.75,gs,gs,0.75,14,skga,ad2,0.2644420997536418,0.266455511650722,0.2624286878565607,0.0037010469765880187,0,905,5183,6438,1227,905,6728,11621,1,905,1,322,1545
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,ir,ir,ir,1.0,19,skga,ad2,0.6174279523608515,0.6180037584577932,0.6168521462639109,0.003922323995798959,0,482,1399,1963,1258,482,7135,3362,1,482,1,776,5736
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,ir,ir,ir,1.0,9,skga,ad2,0.562288927038373,0.5634763050233879,0.5611015490533563,0.0061639753940791854,0,510,1946,3859,1162,510,6806,5805,1,510,1,652,4860
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,7,skga,ad2,0.4350689606803838,0.4362078275841266,0.4339300937766411,0.0035541261431267213,0,664,3131,3753,1173,664,6627,6884,1,664,1,509,3496
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,11,skga,ad2,0.10103506099361108,0.10327287112811673,0.09879725085910653,0.0027553591826979555,0,1049,4995,6532,1164,1049,6725,11527,1,1049,1,115,1730
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,9,skga,ad2,0.4649050467915423,0.46595467189633955,0.463855421686747,0.003651492158534918,0,623,2639,3311,1162,623,6806,5950,1,623,1,539,4167
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,2,skga,ad2,0.0018353964863522558,0.0036707929727045115,0.0,0.0018353964863522558,0,1214,6799,5586,1214,1214,7189,12385,1,1214,1,0,390
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,8,skga,ad2,0.486460198794013,0.4874758657233527,0.4854445318646735,0.10105255648038049,71,654,3398,4894,1200,725,6926,8292,1,725,1,546,3528
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,6,skga,ad2,0.1465890899964712,0.1491315521827839,0.1440466278101582,0.0034701982618965226,0,1028,3812,7979,1201,1028,6809,11791,12,1028,12,173,2997
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,8,skga,ad2,0.09945295138888827,0.10140590277777668,0.0975,0.0023977119744494255,0,1083,4797,6122,1200,1083,6926,10919,1,1083,1,117,2129
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,12,skga,ad2,0.5368668790630995,0.5377203577911901,0.5360134003350083,0.003964439781568926,0,554,2141,2848,1194,554,6870,4989,1,554,1,640,4729
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,13,skga,ad2,0.3275273288716223,0.32857439458535315,0.32648026315789475,0.002308199194646074,0,819,4209,2917,1216,819,6731,7126,1,819,1,397,2522
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,9,skga,ad2,0.36351911210122045,0.3647318558719761,0.3623063683304647,0.002982255805609725,0,741,3213,3291,1162,741,6806,6504,1,741,1,421,3593
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,3,km,gs#0.75,gs,gs,0.75,16,skga,ad2,0.17803513840365504,0.17984076861058887,0.1762295081967213,0.0026608252270983405,0,1005,5214,5763,1220,1005,6609,10977,1,1005,1,215,1395
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,10,skga,ad2,0.2730663161805031,0.27441201907310253,0.2717206132879046,0.0025371909305427257,0,855,4171,3576,1174,855,6544,7747,1,855,1,319,2373
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,10,skga,ad2,0.07256746834451154,0.0752882586651728,0.06984667802385008,0.0031447490238699347,0,1092,4412,8083,1174,1092,6544,12495,1,1092,1,82,2132
