data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,calgo,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,0,ctkga,0.00026611512879569946,0.00026611512879569946,0.0005322302575913989,0.0,0.0006078416755706605,0.00045661883961213757,0,1287,9687,1272,1288,9687,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,2,ctkga,0.0012306867551908753,0.0012306867551908753,0.0024613735103817505,0.0,0.002889765013541416,0.0020329820072220784,0,1197,9454,4875,1271,9454,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,3,ctkga,0.0015439902564162338,0.0015439902564162338,0.0030879805128324676,0.0,0.0035954578255575857,0.002580503200107343,0,1132,9880,5378,1262,9880,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,4,ctkga,0.0016327222333772208,0.0016327222333772208,0.0032654444667544417,0.0,0.003922569372903685,0.0026083195606052007,0,1117,10257,5573,1269,10257,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,5,ctkga,0.0017615588733515923,0.0017615588733515923,0.0035231177467031846,0.0,0.004214647224672357,0.0028315882687340167,0,1056,9825,5574,1251,9825,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,6,ctkga,0.00139838986292312,0.00139838986292312,0.00279677972584624,0.0,0.003259259268704024,0.002334300182988457,0,1091,9938,4945,1301,9938,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,7,ctkga,0.001472778326796529,0.001472778326796529,0.002945556653593058,0.0,0.0034241924955707046,0.002466920811615414,0,1140,10933,5717,1367,10933,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,8,ctkga,0.0015540762206787072,0.0015540762206787072,0.0031081524413574145,0.0,0.0036384916847611443,0.002577813197953684,0,1087,10141,5549,1317,10141,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,9,ctkga,0.001496730097201093,0.001496730097201093,0.002993460194402186,0.0,0.003530285191619576,0.0024566351971847815,0,1083,10492,5490,1329,10492,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,0,ctkga,0.00026616615386901223,0.00026616615386901223,0.0005323323077380245,0.0,0.000607433474984158,0.00045723114049189156,0,1287,9687,1274,1288,9687,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,1,ctkga,0.0012053333588211063,0.0012053333588211063,0.0024106667176422127,0.0,0.0028740467654662593,0.0019472866698181685,0,1277,10299,4771,1287,10299,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,2,ctkga,0.0012376223964410834,0.0012376223964410834,0.0024752447928821667,0.0,0.002906447380628503,0.0020440422051358274,0,1200,9454,4878,1271,9454,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,4,ctkga,0.0016414339860961935,0.0016414339860961935,0.003282867972192387,0.0,0.003909910448732012,0.00265582549565276,0,1126,10257,5590,1269,10257,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,5,ctkga,0.0017161281340045574,0.0017161281340045574,0.0034322562680091147,0.0,0.004076575904340307,0.0027879366316779257,0,1065,9825,5554,1251,9825,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,6,ctkga,0.001365194987226202,0.001365194987226202,0.002730389974452404,0.0,0.003190184422852909,0.0022705955260518933,0,1105,9938,4907,1301,9938,2
