Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
38,38,9.925338029861448,309.92085385322565,5.048079967498778,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
39,39,8.555215835571289,321.1310436725616,5.077670812606812,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
40,40,8.553955078125,338.86757159233093,5.977063417434692,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
41,41,10.319215059280397,331.0022349357605,5.467166185379028,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
42,42,10.055380821228027,369.6249010562897,5.808745622634888,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
43,43,9.094694852828981,410.5908172130585,4.85473370552063,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
44,44,10.327187061309814,458.22399401664734,5.247891902923584,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
45,45,10.067414522171019,454.13229966163635,5.214372396469116,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
46,46,10.471396684646605,427.0206344127655,5.6644530296325675,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
47,47,12.047611951828005,436.5818388462066,4.577287435531616,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
48,48,10.181507110595703,418.04908514022827,5.350069522857666,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
49,49,10.330849409103395,423.0526487827301,6.263580083847046,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0
0,0,5.154582262039185,9.340111255645752,1.3934624195098877,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
1,1,4.128455638885498,5.005516052246094,1.4515259265899658,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
2,2,3.4643185138702397,49.63760566711426,1.7623848915100098,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
3,3,3.529016733169556,77.9784336090088,1.3580033779144287,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
4,4,3.571907758712769,127.84685802459715,2.0349445343017583,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
5,5,4.268630027770996,174.76025915145874,2.0652332305908203,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0
